Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SpVg Emsdetten 05;28;16;7;5;50:25;25;55
2;Westf. Gemen ;28;15;7;6;65:41;24;52
3;Hochlarmark ;28;15;4;9;63:44;19;49
4;TSV MarlHüls;28;13;8;7;49:35;14;47
5;Gievenbeck;28;12;9;7;48:41;7;45
6;SV Mesum;28;11;7;10;47:46;1;40
7;SuS Neuenk. ;28;12;3;13;39:33;6;39
8;FC Oeding;28;11;5;12;44:54;-10;38
9;SC Greven 09;28;9;8;11;42:54;-12;35
10;GW Nottuln;28;7;11;10;41:46;-5;32
11;Wettringen;28;7;11;10;40:46;-6;32
12;SuS Waltrop ;28;9;5;14;41:53;-12;32
13;Pr. Münster II;28;8;7;13;29:39;-10;31
14;VfL Grafenw.;28;8;5;15;46:63;-17;29
15;Schöppingen;28;6;5;17;31:55;-24;23
16;VfB Waltrop ;0;0;0;0;0:0;0;0
