Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;FC Schalke 04 II;34;28;2;4;103:35;68;86
2;VfL Bochum II;34;24;5;5;79:35;44;77
3;FC Gütersloh;34;21;6;7;77:39;38;69
4;SV Lippstadt 08;34;19;9;6;74:46;28;66
5;Eintracht Rheine;34;15;6;13;63:60;3;51
6;SG Wattenscheid 09 II;34;14;6;14;54:59;-5;48
7;VfB Hüls;34;12;10;12;55:48;7;46
8;SuS Stadtlohn;34;12;8;14;37:47;-10;44
9;VfB Fichte Bielefeld;34;11;10;13;49:48;1;43
10;Sportfreunde Siegen II;34;12;7;15;49:61;-12;43
11;SC Hassel;34;11;8;15;36:55;-19;41
12;SpVg Emsdetten 05;34;11;6;17;45:57;-12;39
13;Lüner SV;34;10;8;16;55:66;-11;38
14;Arminia Bielefeld II;34;9;10;15;41:63;-22;37
15;TSG Sprockhövel;34;10;5;19;46:72;-26;35
16;TuS Hordel;34;8;9;17;52:62;-10;33
17;Westfalia Herne;34;5;13;16;39:61;-22;28
18;TSG Dülmen;34;7;6;21;40:80;-40;27
