Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;DSC Arminia II;28;23;3;2;71:30;41;72
2;SpVg Emsdetten 05;28;19;1;8;64:35;29;58
3;LR Ahlen II;28;17;4;7;67:26;41;55
4;SV Enger-W. ;28;16;7;5;65:33;32;55
5;SF Lotte;28;13;6;9;40:37;3;45
6;SC Herford ;28;11;7;10;48:39;9;40
7;Wiedenbrück;28;9;7;12;36:36;0;34
8;Hammer SpVg;28;9;7;12;41:50;-9;34
9;Davensberg;28;9;6;13;43:51;-8;33
10;Delbrück ;28;8;6;14;49:68;-19;30
11;SpVgg Vreden;28;8;6;14;37:59;-22;30
12;Spvg Brakel;28;7;8;13;33:51;-18;29
13;SV Rhynern;28;7;5;16;45:61;-16;26
14;Borussia Emsdetten;28;6;8;14;26:51;-25;26
15;SSV Meschede;28;5;5;18;30:68;-38;20
16;Beckumer SV ;0;0;0;0;0:0;0;0
