Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;Borussia Dortmund II;34;24;7;3;79:25;54;79
2;SC Verl;34;21;7;6;75:43;32;70
3;FC Gütersloh;34;17;8;9;71:41;30;59
4;FC Schalke 04 II;34;17;7;10;64:43;21;58
5;Sportfreunde Lotte;34;15;11;8;49:43;6;56
6;VfL Bochum II;34;15;6;13;61:52;9;51
7;VfB Hüls;34;13;7;14;48:53;-5;46
8;Westfalia Herne;34;12;8;14;47:51;-4;44
9;SpVg Emsdetten 05;34;11;10;13;44:57;-13;43
10;Arminia Bielefeld II;34;10;12;12;36:38;-2;42
11;LR Ahlen II;34;11;9;14;36:43;-7;42
12;Delbrücker SC;34;10;11;13;35:46;-11;41
13;SV Lippstadt 08;34;12;5;17;43:65;-22;41
14;Eintracht Rheine;34;11;6;17;44:65;-21;39
15;SpVgg Erkenschwick;34;10;8;16;32:45;-13;38
16;Sportfreunde Siegen II;34;9;7;18;42:63;-21;34
17;SV Schermbeck;34;9;6;19;43:46;-3;33
18;VfB Fichte Bielefeld;34;8;7;19;31:61;-30;31
