Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SC Verl;34;22;9;3;63:28;35;75
2;FC Schalke 04 II;34;19;5;10;67:41;26;62
3;Arminia Bielefeld II;34;17;10;7;66:40;26;61
4;SV Lippstadt 08;34;18;7;9;55:47;8;61
5;FC Gütersloh;34;17;9;8;56:38;18;60
6;Preußen Münster;34;17;7;10;51:32;19;58
7;Westfalia Herne;34;17;3;14;58:50;8;54
8;Sportfreunde Lotte;34;13;10;11;59:54;5;49
9;Delbrücker SC;34;13;8;13;51:49;2;47
10;VfL Bochum II;34;13;5;16;61:49;12;44
11;Eintracht Rheine;34;12;7;15;50:57;-7;43
12;SpVgg Erkenschwick;34;9;11;14;43:56;-13;38
13;SF Oestrich-Iserlohn;34;9;9;16;38:63;-25;36
14;Hammer SpVg;34;9;7;18;38:58;-20;34
15;Rot Weiss Ahlen II;34;8;8;18;34:52;-18;32
16;SG Wattenscheid 09;34;7;11;16;51:72;-21;32
17;SpVg Emsdetten 05;34;7;10;17;49:71;-22;31
18;VfB Hüls;34;8;6;20;30:63;-33;30
