#Typ;Medium;Dauer;Breite;Höhe
Bild;assets\pictures\sponsors\Salvus01.jpg;2;1800px;1000px
Bild;assets\pictures\sponsors\Senger Bus.jpg;2;1800px;1000px
Bild;assets\pictures\sponsors\bitburger-lang.jpg;2;1800px;1000px
Bild;assets\pictures\sponsors\BOS.JPG;2;1800px;1000px
Video;assets\pictures\sponsors\LItalianoMitMarco.mp4;10;478px;720px
