Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte;
1;TuS Haltern am See;28;18;5;5;50:15;35;59;
2;BSV Roxel;28;18;5;5;60:28;32;59;
3;SV Mesum;28;16;4;8;53:35;18;52;
4;SC Preu�en 06 Lengerich;28;16;3;9;57:33;24;51;
5;SpVg Emsdetten 05;28;15;5;8;57:33;24;50;
6;SV Burgsteinfurt;28;13;4;11;42:38;4;43;
7;SV Eintracht Ahaus;28;12;5;11;43:45;-2;41;
8;SV Westfalia Gemen;28;10;9;9;47:43;4;39;
9;DJK Eintracht Coesfeld;28;10;4;14;38:48;-10;34;
10;SV Herbern;28;10;3;15;35:50;-15;33;
11;Viktoria Resse;28;9;4;15;28:42;-14;31;
12;SV Dorsten-Hardt;28;8;6;14;37:50;-13;30;
13;SC M�nster 08;28;5;10;13;26:49;-23;25;
14;Hammer SpVg II;28;7;3;18;38:66;-28;24;
15;SF Stuckenbusch;28;6;4;18;28:64;-36;22;
