Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SG Wattenscheid 09;34;21;8;5;78:34;44;71
2;VfL Bochum II;34;22;4;8;78:39;39;70
3;FC Schalke 04 II;34;18;6;10;64:42;22;60
4;VfB Hüls;34;17;8;9;71:45;26;59
5;SC Verl;34;17;8;9;55:41;14;59
6;SpVg Emsdetten 05;34;17;7;10;51:55;-4;58
7;LR Ahlen II;34;14;12;8;58:42;16;54
8;Sportfreunde Lotte;34;14;8;12;54:55;-1;50
9;Eintracht Rheine;34;12;8;14;62:55;7;44
10;FC Gütersloh;34;11;11;12;47:49;-2;44
11;VfB Fichte Bielefeld;34;12;7;15;57:65;-8;43
12;SpVgg Erkenschwick;34;11;9;14;37:45;-8;42
13;SV Schermbeck;34;10;11;13;59:60;-1;41
14;Sportfreunde Siegen II;34;9;6;19;46:59;-13;33
15;SV Lippstadt 08;34;7;10;17;44:66;-22;31
16;TSG Sprockhövel;34;9;4;21;33:62;-29;31
17;Vorwärts Kornharpen;34;9;4;21;45:87;-42;31
18;SC Hassel;34;6;9;19;35:73;-38;27
