Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte;
1;SV Burgsteinfurt;28;20;3;5;75:43;32;63;
2;SC M�nster 08;28;18;6;4;83:32;51;60;
3;SpVg Emsdetten 05;28;17;6;5;71:41;30;57;
4;SV Teuto Riesenbeck;28;15;6;7;68:51;17;51;
5;BSV Roxel;28;11;8;9;58:46;12;41;
6;DJK Wacker Mecklenbeck;28;12;3;13;51:55;-4;39;
7;Borghorster FC;28;11;4;13;60:66;-6;37;
8;SV Concordia Albachten;28;9;9;10;46:46;0;36;
9;TuS Graf Kobbo Tecklenburg;28;9;5;14;49:71;-22;32;
10;SC Greven 09;28;7;10;11;47:54;-7;31;
11;TuS Germania Horstmar;28;9;4;15;56:66;-10;31;
12;SuS Neuenkirchen II;28;8;7;13;43:57;-14;31;
13;SC Falke Saerbeck;28;8;6;14;47:67;-20;30;
14;SV Mesum II;28;7;5;16;54:78;-24;26;
15;SC Westfalia Kinderhaus II;28;6;4;18;42:77;-35;22;
