Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SpVg Emsdetten 05;34;25;7;2;94:22;72;82
2;SC Münster 08;34;23;7;4;90:31;59;76
3;SV Burgsteinfurt;34;23;6;5;67:21;46;75
4;Westfalia Kinderhaus;34;17;9;8;58:42;16;60
5;FC Vorwärts Wettringen;34;15;10;9;78:45;33;55
6;Eintracht Rheine II;34;16;6;12;62:45;17;54
7;SG Telgte;34;14;6;14;69:56;13;48
8;SV Grün-Weiß Rheine;34;13;9;12;52:44;8;48
9;DJK Wacker Mecklenbeck;34;13;9;12;63:58;5;48
10;TuS Altenberge;34;12;9;13;47:41;6;45
11;DJK Arminia Ibbenbüren;34;11;8;15;62:76;-14;41
12;Grün Weiß Amisia Rheine;34;11;7;16;52:73;-21;40
13;Borussia Emsdetten;34;11;6;17;45:54;-9;39
14;TuS Germania Horstmar;34;12;3;19;42:64;-22;39
15;DJK Borussia 07 Münster;34;10;7;17;46:63;-17;37
16;SC Falke Saerbeck;34;9;5;20;29:58;-29;32
17;DJK Grün-Weiß Gelmer;34;8;3;23;40:83;-43;27
18;1. FC Mecklenbeck;34;3;3;28;33:153;-120;12
