Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SC Wiedenbrück;34;30;3;1;105:27;78;93
2;Eintracht Rheine;34;18;11;5;74:43;31;65
3;SC Paderborn 07 II;34;19;7;8;69:32;37;64
4;SuS Stadtlohn;34;15;8;11;63:43;20;53
5;SV Lippstadt 08;34;15;7;12;66:54;12;52
6;SV Rot Weiß Horn;34;15;5;14;56:62;-6;50
7;SuS Neuenkirchen;34;13;9;12;63:66;-3;48
8;Westfalia Rhynern;34;12;9;13;53:53;0;45
9;SpVg Emsdetten 05;34;13;6;15;57:60;-3;45
10;TuS Dornberg;34;11;11;12;55:60;-5;44
11;SV Davaria Davensberg;34;12;8;14;47:55;-8;44
12;SpVgg Erkenschwick;34;12;6;16;48:54;-6;42
13;Borussia Emsdetten;34;11;8;15;42:57;-15;41
14;Rot Weiss Ahlen II;34;11;6;17;46:61;-15;39
15;TuS Hiltrup;34;11;6;17;39:65;-26;39
16;SV Rot-Weiß Erlinghausen;34;9;9;16;49:70;-21;36
17;Spvg Brakel;34;10;4;20;45:70;-25;34
18;Grün-Weiß Nottuln;34;5;5;24;35:80;-45;20
