Saison;Spieltag;Datum;HA;Gegner;Ergebnis;Punkte;Platz;PPP;Geschossen;Kassiert
2023/24;24;14.04.2024;A;Falke Saerbeck;2:2;1;3;25;16|Merlin Heinz|36|Niklaas Houghton;63|83
2023/24;25;21.04.2024;H;Wacker Mecklenbeck;3:0;3;3;25;7|Jan Walbaum|52|Niklaas Houghton|63|Janes Böggemann;
2023/24;26;28.04.2024;A;Greven 09;1:1;1;3;25;49|Tim Merker;3
2023/24;27;05.05.2024;H;Borghorster FC;4:2;3;3;25;34|Niklaas Houghton|36|Janes Böggemann|41|Jan Walbaum|82|Niklaas Houghton;28|42
2023/24;28;12.05.2024;A;Germania Horstmar;1:3;0;3;25;56|Niklaas Houghton;60|65|84
2023/24;29;20.05.2024;H;SV Burgsteinfurt;4:1;3;3;25;41|Jan Walbaum|46|Niklaas Houghton|76|Hannes Rehr|90|Jan Walbaum;58
2023/24;30;26.05.2024;A;BSV Roxel;6:4;3;3;25;23|Jonas Schomaker|67|Jonas Schomaker|70|Janes Böggemann|73|Marius Schomaker|87|Janis Over|90|Sven Marowka;53|54|57|80
2024/25;1;11.08.2024;H;Concordia Albachten;4:0;3;2;20;3|Marius Schomaker|29|Marius Schomaker|80|Henrik Möllers|85|Niklaas Houghton;
2024/25;2;18.08.2024;A;TUS GK Tecklenburg;4:0;3;1;20;50|Marius Klöpper|75|Jonas Schomaker|87|Marco Kötter|89|Marco Kötter;
2024/25;3;25.08.2024;H;VFL Wolbeck;4:0;3;1;20;29|Jonas Schomaker|38|Marius Schomaker|55|Adinane Fousseni|63|Niklaas Houghton;
2024/25;4;01.09.2024;A;Teuto Riesenbeck;3:1;3;2;25;43|Marius Schomaker|58|Adinane Fousseni|67|ZZZ Eigentor;54
2024/25;5;08.09.2024;H;BSV Roxel;2:0;3;2;25;57|Jonas Schomaker|63|Marco Kötter;
2024/25;6;15.09.2024;A;SV Mauritz;2:1;3;1;35;39|Marius Schomaker|81|Hannes Rehr;57
2024/25;7;22.09.2024;A;Germania Horstmar;6:0;3;1;35;27|Niklaas Houghton|31|Niklaas Houghton|39|Marius Schomaker|50|Marius Schomaker|63|Niklaas Houghton|77|ZZZ Eigentor;
2024/25;8;29.09.2024;H;SV Büren;3:2;3;1;35;10|Marius Schomaker|76|Luca Tillmann|90|Adinane Fousseni;14|61
2024/25;9;06.10.2024;A;Greven 09;1:4;0;2;25;67|Marius Klöpper;18|29|61|90
2024/25;10;13.10.2024;H;Borghorster FC;4:3;3;2;25;48|Henrik Möllers|74|Tim Merker|82|Jonas Schomaker|90|Jonas Schomaker;25|45|53
2024/25;11;20.10.2024;A;SG Telgte;5:0;3;2;25;7|Marius Klöpper|15|Asdren Haliti|61|Jonas Schomaker|67|Jonas Schomaker|90|Jonas Schomaker;
2024/25;12;27.10.2024;H;Münster 08;2:2;1;2;25;45|Merlin Heinz|73|Marius Schomaker;44|57
2024/25;13;03.11.2024;A;Neuenkirchen II;3:0;3;2;25;31|Merlin Heinz|58|Jonas Schomaker|88|Marco Kötter;
2024/25;14;10.11.2024;H;FC Nordwalde;4:3;3;1;35;15|Jonas Schomaker|35|Luca Tillmann|78|Jonas Schomaker|88|Luca Tillmann;7|45|81
2024/25;15;17.11.2024;A;Wacker Mecklenbeck;6:1;3;1;35;4|Jonas Schomaker|44|Marius Klöpper|51|Jonas Schomaker|62|Henrik Möllers|67|Jonas Schomaker|72|Janes Böggemann;31
2024/25;16;01.12.2024;A;Concordia Albachten;0:1;0;1;35;;11
2024/25;17;16.02.2025;H;TUS GK Tecklenburg;3:1;3;1;35;13|Omar Guetat|51|Marius Schomaker|90|Jonas Schomaker;77
2024/25;18;23.02.2025;A;VFL Wolbeck;3:1;3;1;35;20|Asdren Haliti|55|Marius Klöpper|86|Luca Tillmann;40
2024/25;19;09.03.2025;H;Teuto Riesenbeck;1:1;1;1;35;31|Asdren Haliti;47
